79372,Adobe Creek Reservoir,BEN,BCF,20000,"3"""
79372,Adobe Creek Reservoir,BEN,BCR,70000,"2"""
79372,Adobe Creek Reservoir,BEN,CCF,40000,"3"""
79372,Adobe Creek Reservoir,BEN,LMB,100000,"0.2"""
79372,Adobe Creek Reservoir,BEN,SAG,1000000,"0.2"""
79372,Adobe Creek Reservoir,BEN,SXW,100000,"0.2"""
20916,Akron Pond,WAS,BCR,2000,"2"""
20916,Akron Pond,WAS,CCF,3000,"8"""
20916,Akron Pond,WAS,LMB,55000,"0.2"""
20916,Akron Pond,WAS,LMB,3088,"1.5"""
20916,Akron Pond,WAS,RSF,7000,"1.5"""
80060,Alan Lake,CHA,GBN,350,"1"""
53710,Alder Lake,JAC,GRA,250,"1"""
64916,Alder Park Pond,GAR,RBT,165,"10"""
64915,Aldrich Lake #1,RBL,LXB,4100,"3"""
64915,Aldrich Lake #1,RBL,SPL,1500,"3"""
88333,Alexander Lake,DEL,RBT,3400,"10"""
88333,Alexander Lake,DEL,SRN,1000,"5"""
88630,Alkali,ALA,HXH,2800,"2"""
64927,Allen Basin Reservoir,RBL,RBT,7000,"5"""
52345,Allen Park Lake,WEL,RBT,1500,"10"""
88345,Alta Lake Lower,SNM,RBT,2000,"10"""
88369,Andrews Lake,SNJ,RBT,4000,"10"""
80072,An9lemeyer Lake,CHA,GBN,200,"1"""
37982,Animas River #1,LAP,GRR,10000,"2"""
37994,Animas River #2,LAP,GRR,10000,"2"""
37994,Animas River #2,LAP,RBT,1800,"10"""
38011,Animas River #4,SNJ,RBT,500,"10"""
80084,Ann Lake,CHA,GBN,1500,"1"""
88395,Annie Lake,LAP,WXT,309,"1"""
79764,Antero Reservoir,PAR,HHN,130000,"5"""
79764,Antero Reservoir,PAR,HHN,20000,"5"""
79764,Antero Reservoir,PAR,HHN,150000,"5"""
79764,Antero Reservoir,PAR,LOC,8000,"3"""
79764,Antero Reservoir,PAR,LOC,40000,"3"""
79764,Antero Reservoir,PAR,LOC,72000,"3"""
79764,Antero Reservoir,PAR,LXB,20000,"3"""
79764,Antero Reservoir,PAR,RBT,300000,"5"""
79764,Antero Reservoir,PAR,SPL,20000,"3"""
79764,Antero Reservoir,PAR,SRN,50000,"5"""
79764,Antero Reservoir,PAR,TGM,750,"7"""
81238,Anticline Lake,PUE,BCR,2322,"2"""
81238,Anticline Lake,PUE,BGL,1000,"2"""
81238,Anticline Lake,PUE,CCF,1500,"8"""
81238,Anticline Lake,PUE,RBT,4347,"10"""
81238,Anticline Lake,PUE,RBT,8000,"10"""
53590,Arapahoe Bend Bass Pond,LAR,BGL,1500,"2"""
53590,Arapahoe Bend Bass Pond,LAR,LMB,2500,"1.5"""
53590,Arapahoe Bend Bass Pond,LAR,WAL,2304,"1.2"""
53593,Arapahoe Bend Beaver Pond,LAR,CCF,2000,"3"""
53593,Arapahoe Bend Beaver Pond,LAR,WAL,100000,"0.2"""
53593,Arapahoe Bend Beaver Pond,LAR,WAL,100000,"0.2"""
38059,Archuleta Creek,ARC,RGN,1500,"1"""
28968,Arkansas River #2B,PUE,SMM,25000,"1"""
28971,Arkansas River #3B,PUE,LOC,9776,"3"""
28971,Arkansas River #3B,PUE,LOC,2000,"3"""
28971,Arkansas River #3B,PUE,RBT,8000,"10"""
28971,Arkansas River #3B,PUE,RBT,8000,"10"""
32970,Arkansas River #6B,FRE,GRR,9000,"3"""
32982,Arkansas River #6C,FRE,GRR,5000,"3"""
32994,Arkansas River #6D,FRE,GRR,12000,"3"""
29012,Arkansas River #7,CHA,GRR,15000,"3"""
29024,Arkansas River #8,CHA,GRR,11000,"3"""
29036,Arkansas River #9A,CHA,GRR,15000,"3"""
29048,Arkansas River #9B,CHA,GRR,2000,"3"""
94110,Arrowhead Lake,DOL,RBT,1500,"3"""
94110,Arrowhead Lake,DOL,RBT,500,"10"""
80096,Arthur Lake,CHA,GBN,500,"1"""
80096,Arthur Lake,CHA,GOL,500,"1"""
59976,Arvada Reservoir,JEF,CCF,1125,"8"""
59976,Arvada Reservoir,JEF,RBT,19810,"10"""
56420,Aurora Reservoir,ARA,CCF,18484,"3"""
56420,Aurora Reservoir,ARA,RBT,16673,"10"""
56420,Aurora Reservoir,ARA,SXW,8000,"1.2"""
56420,Aurora Reservoir,ARA,WAL,3000000,"0.2"""
19047,Avalanche Creek,PIT,CR1,5000,"1.5"""
64989,Avery Lake,RBL,HXH,9800,"10"""
58354,Avery Pond,LAR,CCF,100,"8"""
88629,Avocet,ALA,HXH,2663,"2"""
88631,Axel,ALA,HXH,500,"2"""
88631,Axel2,ALA,HXH,500,"2"""
88637,Axel3,ALA,BGL,1500,"2"""
88637,Axel,ALA,LMB,50,"1.5"""
88632,Axel,ALA,HXH,1000,"2"""
88633,Axel5,ALA,HXH,1200,"2"""
88634,Axel6,ALA,HXH,1000,"2"""
88635,Axel7,ALA,HXH,300,"2"""
88641,Axel8,ALA,HXH,1200,"2"""
64991,Axial Basin Lake,MOF,RBT,2650,"10"""
88422,Bailey Reservoir,DEL,RBT,3000,"3"""
88422,Bailey Reservoir,DEL,RBT,1000,"10"""
80109,Baldwin Lake Upper,CHA,GBN,1000,"1"""
88434,Baldy Lake,SAG,CR1,500,"1"""
81682,Balman Reservoir,CUS,GRA,500,"2"""
81682,Balman Reservoir,CUS,NAN,1000,"3"""
60006,Banner Lakes #2,WEL,BCR,2500,"2"""
60006,Banner Lakes #2,,,,
18515,Bass Pond,LAR,CCF,600,"8"""
18515,Bass Pond,LAR,HGC,300,"4"""
18515,Bass Pond,LAR,RBT,250,"10"""
18515,Bass Pond,LAR,TGM,25,"7"""
88460,Battlement Reservoir Big,DEL,LXB,500,"3"""
88472,Battlement Reservoir Little,DEL,CR1,1500,"1"""
10063,Bear Creek #1,DEN,LOC,5000,"3"""
10075,Bear Creek #2,JEF,HXG,4000,"5"""
57226,Bear Creek Pond #1,JEF,BGL,934,"2"""
57226,Bear Creek Pond #1,JEF,CCF,225,"8"""
57227,Bear Creek Pond #2,JEF,BGL,934,"2"""
57227,Bear Creek Pond #2,JEF,CCF,225,"8"""
57617,Bear Creek Reservoir,JEF,RBT,13000,"10"""
57617,Bear Creek Reservoir,JEF,SAG,12758,"1.2"""
65082,Bear Lake,GAR,JMP,3500,"10"""
65082,Bear Lake,GAR,RBT,10000,"4"""
80123,Bear Lake,HUE,RBT,3600,"10"""
80123,Bear Lake,HUE,RBT,2800,"10"""
80147,Bear Lake,LAK,GBN,1800,"1"""
80161,Bear Lake,CHA,GBN,1800,"1"""
88484,Bear Lake,CON,RGN,1200,"1"""
80159,Bear Lake Little,LAK,GBN,350,"1"""
21236,Bear River #3,GAR,CR1,3000,"2"""
88511,Beaver Creek Reservoir,RGR,HXH,15000,"10"""
88511,Beaver Creek Reservoir,RGR,HXH,10000,"10"""
88511,Beaver Creek Reservoir,RGR,KOK,12323,"2"""
88511,Beaver Creek Reservoir,RGR,LOC,8562,"3"""
38249,"Beaver Creek, South",GUN,CR1,3000,"2"""
65119,Beaver Lake,GUN,HXH,1000,"10"""
65119,Beaver Lake,GUN,RBT,2500,"10"""
65121,Beaver Lake,MES,RBT,2345,"10"""
88496,Beaver Lake,CON,RGN,628,"1"""
82026,Beckwith Reservoir,PUE,BCR,6000,"2"""
82026,Beckwith Reservoir,PUE,BGL,6000,"2"""
82026,Beckwith Reservoir,PUE,CCF,3000,"8"""
82026,Beckwith Reservoir,PUE,HGC,250,"4"""
82026,Beckwith Reservoir,PUE,RBT,3000,"10"""
82026,Beckwith Reservoir,PUE,RBT,1000,"10"""
82026,Beckwith Reservoir,PUE,SAG,15000,"1.2"""
71681,Bel Aire Ponds,RBL,HXH,400,"10"""
53936,Bellaire Lake,LAR,RBT,12500,"10"""
55852,Ben Delatour Pond,LAR,RBT,300,"10"""
52427,Berkeley Lake,DEN,BGL,4226,"2"""
52427,Berkeley Lake,DEN,CCF,2900,"8"""
52427,Berkeley Lake,DEN,LMB,1200,"1.5"""
52427,Berkeley Lake,DEN,RBT,7000,"10"""
70431,Berry Creek Pond,EAG,RBT,300,"10"""
52439,Berthoud City Reservoir,LAR,BCR,4000,"2"""
52439,Berthoud City Reservoir,LAR,CCF,400,"8"""
52439,Berthoud City Reservoir,LAR,HGC,120,"4"""
52439,Berthoud City Reservoir,LAR,LMB,6000,"1.5"""
52439,Berthoud City Reservoir,LAR,RBT,3000,"10"""
52439,Berthoud City Reservoir,LAR,RSF,4000,"1.5"""
52439,Berthoud City Reservoir,LAR,TGM,25,"7"""
88561,Betty Lake,LAP,WXT,205,"1"""
53974,Big Creek Lake Lower,JAC,RBT,60000,"5"""
53974,Big Creek Lake Lower,JAC,RBT,20000,"10"""
53974,Big Creek Lake Lower,JAC,TGM,600,"7"""
88573,Big Creek Reservoir,MES,CR1,3000,"2"""
83259,Big Mac Pond,OTE,BCR,250,"2"""
83259,Big Mac Pond,OTE,BGL,200,"2"""
83259,Big Mac Pond,OTE,CCF,200,"8"""
83259,Big Mac Pond,OTE,LMB,200,"1.5"""
88597,Big Meadows Reservoir,MIN,HXH,25000,"10"""
58140,Big Thompson Pond #5,LAR,CCF,600,"8"""
58140,Big Thompson Pond #5,LAR,HGC,250,"4"""
73027,Bighorn Pond,EAG,HXH,200,"10"""
80173,Billings Lake,CHA,GBN,200,"1"""
88600,Billy Creek Lake,OUR,RBT,1000,"10"""
57237,Birdland Lake,JEF,CCF,250,"8"""
57679,Bittersweet Lake,WEL,RBT,4000,"10"""
81799,Black Hole At Two Buttes,BAC,BGL,250,"2"""
81799,Black Hole At Two Buttes,BAC,CCF,200,"8"""
81799,Black Hole At Two Buttes,BAC,LMB,250,"1.5"""
81799,Black Hole At Two Buttes,BAC,RBT,500,"10"""
81799,Black Hole At Two Buttes,BAC,RBT,500,"10"""
